Subject,Block,Trial,FixationSeq,AOI,StartTime_ms,EndTime_ms,Duration_ms,SampleCount,Mean_X,Mean_Y,SD_X,SD_Y
991,1,1,1,NaN,0,162,162,163,975.470498410811,131.495962628667,0.850199768994169,2.36638229253427
991,1,1,2,A1,192,328,136,137,823.185923258464,413.821110478154,3.3780123758065,4.62450629881785
991,1,1,3,A1,333,552,219,220,902.41789049621,443.024771104165,3.51033876531751,4.78651550351152
991,1,1,4,A3,567,901,334,335,942.719220135663,720.867566632795,3.90838458613901,16.3873031014342
991,1,1,5,B1,937,1417,480,481,1275.03225459535,465.546660039022,12.7115698269321,28.7487249526842
991,1,1,6,B3,1437,1919,482,483,1284.04386460905,741.996362253931,4.87939172859222,14.347045136994
991,1,2,1,A1,0,387,387,388,918.635491721988,470.155181410399,11.4442465381877,12.4967560186378
991,1,2,2,A2,395,627,232,233,937.757359360204,569.144803926542,1.80870754552664,6.96196950096997
991,1,2,3,A3,640,747,107,108,933.8217001861,729.991508339936,2.29860922934071,7.02583296009801
991,1,2,4,B1,777,1019,242,243,1271.9182551847,468.000207671486,5.06977947456757,3.53794680779178
991,1,2,5,B2,1029,1242,213,214,1270.57146237931,590.464149762999,2.03761425951281,5.8592758891325
991,1,3,1,NaN,0,173,173,174,981.611337883528,136.222092828085,0.773819443898753,4.42563182495522
991,1,3,2,A1,198,518,320,321,932.435738399111,447.24059522862,9.45638950919209,22.8246907825196
991,1,3,3,A2,527,748,221,222,956.677730352228,595.180000998757,2.36146925255541,8.52458429067185
991,1,3,4,B1,781,996,215,216,1280.57289394486,461.524300049399,4.29337785628946,2.81953215467211
991,1,3,5,B2,1006,1221,215,216,1293.70140517761,587.321027381398,4.02751841017912,4.58905248167076
991,1,3,6,B3,1232,1321,89,90,1294.31192987615,716.581247503107,5.23365857324864,6.76421776055974
991,1,3,7,A3,1352,1505,153,154,964.399010909231,732.639143291273,5.23326839367967,2.55575841980337
991,1,3,8,A1,1537,1693,156,157,928.68032187185,483.167418055381,1.60675140234608,4.60262889996201
991,1,4,1,NaN,0,141,141,142,974.269996207101,155.503571265084,0.588504686305797,3.1112681859505
991,1,4,2,A,165,317,152,153,941.354635074439,401.275827976252,1.36594590335566,8.20860378372443
991,1,4,3,A1,319,496,177,178,946.363637057218,460.978125658902,2.46749447569829,2.63526478446248
991,1,4,4,A2,510,772,262,263,951.854979299494,618.259578076359,2.14177544664752,7.156998422815
991,1,4,5,B1,806,1063,257,258,1276.15937590599,465.89609259367,2.67464491870086,2.86292539895295
991,1,4,6,B2,1073,1203,130,131,1295.00193893078,592.986823266791,4.14982659350307,5.43749900134519
991,1,4,7,A1,1232,1534,302,303,962.594185154303,484.454651588617,4.28748959289644,5.11453007185277
